Train_No,Distance,Route_Type,Start_Time,End_Time,Journey_Duration_Hours
15905,4260,Long,1900-01-01 23:00:00,1900-01-01 06:40:00,7.666666666666667
15906,4256,Long,1900-01-01 23:05:00,1900-01-01 09:50:00,10.75
2515,3939,Long,1900-01-01 00:05:00,1900-01-01 05:00:00,4.916666666666667
12507,3932,Long,1900-01-01 16:55:00,1900-01-01 19:00:00,2.0833333333333335
12515,3932,Long,1900-01-01 12:40:00,1900-01-01 17:15:00,4.583333333333333
12516,3930,Long,1900-01-01 19:55:00,1900-01-01 22:40:00,2.75
12508,3930,Long,1900-01-01 19:55:00,1900-01-01 22:40:00,2.75
16317,3769,Long,1900-01-01 14:15:00,1900-01-01 15:20:00,1.0833333333333333
16318,3765,Long,1900-01-01 21:55:00,1900-01-01 21:55:00,0.0
16687,3663,Long,1900-01-01 17:05:00,1900-01-01 15:20:00,22.25
16688,3661,Long,1900-01-01 21:55:00,1900-01-01 22:45:00,0.8333333333333334
22501,3617,Long,1900-01-01 03:10:00,1900-01-01 20:45:00,17.583333333333332
22502,3617,Long,1900-01-01 17:55:00,1900-01-01 11:30:00,17.583333333333332
12522,3435,Long,1900-01-01 10:15:00,1900-01-01 22:50:00,12.583333333333334
12521,3427,Long,1900-01-01 23:00:00,1900-01-01 13:00:00,14.0
