Station_Name,Long,Medium,Short,Total_Trains
CST-MUMBAI,83,11,933,1027
KALYAN JN,229,19,580,828
THANE,134,17,645,796
SEALDAH,42,24,679,745
CHENNAI BEAC,0,0,738,738
HOWRAH JN.,177,62,460,699
DADAR,100,25,473,598
DUM DUM JN.,2,14,447,463
KURLA,0,0,462,462
TAMBARAM,48,18,368,434
VIJAYWADA JN,333,36,47,416
GHAT KOPAR,0,0,406,406
BIDHANNAGAR,10,2,392,404
PANVEL,109,4,287,400
MULUND,0,0,393,393
MUMBAI (MATU,0,0,393,393
MUMBAI (BYCU,0,0,392,392
LUCKNOW JN.,287,45,53,385
KANPUR CENTR,297,36,50,383
VADODARA JN.,314,26,36,376
BHANDUP,0,0,373,373
VIKHROLI,0,0,370,370
VIDYAVIHAR,0,0,356,356
NEW DELHI,193,52,111,356
NAHUR,0,0,355,355
MUMBAI(PAREL,0,0,346,346
MUMBAI (CHIN,0,0,344,344
MUMBAI (MASJ,0,0,344,344
MUMBAI SANDH,0,0,344,344
MUMBAI CURRE,0,0,344,344
PERAMBUR,30,16,296,342
BANDEL JN.,54,40,231,325
BARDDHAMAN J,123,41,155,319
SURAT,262,42,12,316
KHARAGPUR,168,53,88,309
CHENNAI EGMO,70,18,221,309
NAIHATI JN.,32,28,247,307
LILUAH,0,1,305,306
AHMEDABAD,240,33,32,305
BALLYGUNGE J,0,0,300,300
BHUSAVAL JN.,280,18,0,298
BELUR,0,0,295,295
VILLIVAKKAM,0,0,293,293
MUGHAL SARAI,259,17,16,292
ITARSI,277,14,0,291
AVADI,2,0,289,291
SECUNDERABAD,147,40,101,288
AMBATTUR,0,0,281,281
PUNE JN.,193,17,68,278
AMBALA CANTT,175,57,42,274
VEYSARPADI,0,0,274,274
BASIN BRIDGE,0,1,267,268
DOMBIVLI,0,0,267,267
MOOR MARKET,0,0,267,267
SHRIRAMPUR,11,4,251,266
SEORAPHULI J,8,10,247,265
DIVA JN,0,4,261,265
BARRACKPORE,4,20,240,264
ASANSOL MAIN,172,28,63,263
GHAZIABAD JN,131,39,92,262
CHENGALPATTU,59,22,173,254
NAGPUR JN.(C,239,7,6,252
HAZRAT NIZAM,168,12,69,249
KALVA,0,0,248,248
KOPAR,0,0,248,248
MUMBRA,0,0,248,248
BHUBANESWAR,208,26,14,248
PATNA JN.,137,40,69,246
JHANSI JN,222,21,3,246
KATPADI JN,181,44,20,245
PATTABIRAM E,0,0,244,244
ANAND JN.,163,20,60,243
DELHI JN.,76,42,122,240
BHOPAL,221,14,4,239
MORADABAD JN,165,25,48,238
BALLY,0,2,236,238
UTTARPARA,0,0,238,238
KHURDA ROAD,198,18,20,236
SONARPUR JN.,0,0,235,235
LUDHIANA JN.,159,44,32,235
KONNAGAR,0,0,235,235
VISAKHAPATNA,199,23,11,233
VELACHEERY,0,0,233,233
RISHRA,0,0,233,233
HINDMOTOR,0,0,231,231
VARANASI JN.,185,31,14,230
THIRUMAYILAI,0,0,230,230
SANTRAGACHI,75,25,130,230
ARAKKONAM JN,74,33,120,227
AMBERNATH,2,2,221,225
RAJAHMUNDRY,197,11,12,220
GORAKHPUR JN,152,17,50,219
BELGHARIA,0,2,217,219
SODPUR,0,2,217,219
JADABPUR,0,0,217,217
DHAKURIA,0,0,217,217
ST. THOMAS M,0,0,217,217
GARIA,0,0,217,217
.BAGHAJATIN,0,0,217,217
KODAMBAKKAM,0,0,214,214
PALLAVARAM,0,0,214,214
ERODE JN.,169,25,20,214
MANMAD JN.,186,23,3,212
MATHURA JN.,160,16,36,212
KHARDAHA,0,1,209,210
SALEM JN.,168,22,20,210
TITA GARH,2,0,208,210
AGARPARA,0,0,210,210
TIRUVALLUR,6,8,195,209
RANAGHAT JN.,0,18,189,207
TRICHUR,170,19,17,206
ALLAHABAD JN,182,11,12,205
GUDUR JN.,178,10,15,203
SHYAM NAGAR,2,2,196,200
NARENDRAPUR,0,0,200,200
ONGOLE,178,12,8,198
JOLARPETTAI,155,32,10,197
RENIGUNTA JN,170,7,20,197
MAMBALAM,14,8,174,196
NELLORE,175,10,10,195
RAVLI JN,0,0,192,192
CHENNAI CENT,144,39,9,192
KOTA,164,19,6,189
CUTTACK JN.,154,17,18,189
ICHHAPUR,2,2,184,188
TIRUNINRAVUR,0,0,186,186
KACHEGUDA,65,16,105,186
PALTA,0,0,186,186
COIMBATORE,140,24,22,186
YESVANTPUR J,134,34,18,186
THAKURLI,0,0,185,185
VASHI,0,0,185,185
KORATTUR,0,0,184,184
THIRUMULLAIV,0,0,184,184
ANNANUR,0,0,184,184
PATTARAVAKKA,0,0,184,184
KANKINARA,2,1,181,184
VIZIANAGARAM,163,11,9,183
RAIPUR JN.,140,19,24,183
TIRUCHIRAPPA,76,32,75,183
JAIPUR JN.,152,24,4,180
BARAUNI JN.,135,18,26,179
QUILON,132,17,30,179
JABALPUR,158,18,2,178
BARASAT JN.,0,0,178,178
NADIAD JN.,131,20,26,177
AGRA CANTT,148,8,20,176
SAMASTIPUR J,121,16,36,173
CHANDAN NAGA,10,6,157,173
CHUCHURA,6,8,157,171
RATLAM JN,143,10,18,171
GUINDY,0,0,170,170
BAREILLY JN.,140,20,10,170
SAIDAPET,0,0,169,169
TIRUSULAM,0,0,169,169
CHENNAI PARK,0,0,169,169
BILASPUR JN.,128,21,20,169
MINAMBAKKAM,0,0,169,169
CHENNAI CHET,0,0,169,169
NUNGAMBAKKAM,0,0,169,169
CHENNAI FORT,0,0,169,169
PALAVANTHANG,0,0,169,169
CHROMEPET,0,0,168,168
TAMBARAM SAN,0,0,168,168
VAPI,131,26,10,167
KRANTIVIRA S,74,36,57,167
KANCHRAPARA,0,12,154,166
KALYANI JN.,0,12,154,166
KATNI,143,22,0,165
KIUL JN.,112,17,35,164
ALWAYE,138,16,10,164
KARJAT,57,5,102,164
DURG,124,11,28,163
SATNA,145,14,4,163
PALAKKAD JN,140,10,12,162
DUMDUM CANTO,0,0,161,161
BEGAMPET,34,10,116,160
TIRUPPUR,136,18,6,160
JALANDHAR CI,76,28,56,160
LINGAMPALLI,32,12,116,160
GWALIOR JN,140,14,6,160
BIRATI,0,0,159,159
MADHYAM GRAM,0,0,159,159
DURGAPUR,114,19,25,158
GAYA JN.,94,17,47,158
JAGADAL,1,0,157,158
LONAVLA,102,5,50,157
BARUIPUR JN.,0,0,156,156
SAHARANPUR J,96,29,31,156
JASIDIH JN.,102,12,42,156
CHHAPRA JN.,127,10,18,155
BHARUCH JN.,117,28,10,155
HINDU COLLEG,0,0,155,155
PATTABIRAM W,0,0,155,155
TITVALA,0,2,153,155
BALHARSHAH,138,12,4,154
PATNA SAHEB,100,24,30,154
BALASORE,125,15,12,152
KAYANKULAM J,114,15,23,152
SAMALKOT JN.,137,11,4,152
WARANGAL,126,18,7,151
NEW JALPAIGU,129,8,14,151
MUZAFFARPUR,111,8,30,149
ELURU,135,9,4,148
HALISAHAR,0,5,143,148
TIRUPATI,102,22,23,147
BADLAPUR,2,2,143,147
BINA,119,18,10,147
MALLIKPUR,0,0,146,146
SUBHASGRAM,0,0,146,146
BERHAMPUR,131,7,7,145
JALGAON JN.,135,10,0,145
BHADRESHWAR,0,0,144,144
BAIDYABATI,0,0,144,144
DURGANAGAR,0,0,144,144
TENALI JN.,97,16,30,143
BORIVLI,112,23,8,143
HOOGHLY,0,0,143,143
MANKUNDU,0,0,143,143
KHANDWA JN.,136,2,4,142
SHORANUR JN.,98,19,25,142
TATANAGAR JN,88,16,37,141
GONDIA JN.,100,15,26,141
