Train_No,Distance,Route_Type,Start_Time,End_Time,Journey_Duration_Hours
15001,1122,Long,1900-01-01 14:00:00,1900-01-01 13:55:00,23.916666666666668
12949,2664,Long,1900-01-01 08:10:00,1900-01-01 08:05:00,23.916666666666668
11103,1321,Long,1900-01-01 16:50:00,1900-01-01 16:45:00,23.916666666666668
12766,1305,Long,1900-01-01 06:45:00,1900-01-01 06:35:00,23.833333333333332
12494,1501,Long,1900-01-01 21:35:00,1900-01-01 21:25:00,23.833333333333332
8617,1365,Long,1900-01-01 14:05:00,1900-01-01 13:55:00,23.833333333333332
12778,1297,Long,1900-01-01 12:50:00,1900-01-01 12:40:00,23.833333333333332
12777,1295,Long,1900-01-01 06:45:00,1900-01-01 06:30:00,23.75
11404,1026,Long,1900-01-01 12:50:00,1900-01-01 12:35:00,23.75
17214,1092,Long,1900-01-01 11:15:00,1900-01-01 11:00:00,23.75
