Train_No,Distance,Route_Type,Start_Time,End_Time,Journey_Duration_Hours,Number_of_Stations,Number_of_Stops
53041,718,Long,1900-01-01 07:15:00,1900-01-01 12:35:00,5.333333333333333,118,117
13007,1949,Long,1900-01-01 09:35:00,1900-01-01 07:00:00,21.416666666666668,112,111
13049,1908,Long,1900-01-01 13:50:00,1900-01-01 10:20:00,20.5,111,110
58112,883,Long,1900-01-01 21:15:00,1900-01-01 00:05:00,2.8333333333333335,109,108
13008,1952,Long,1900-01-01 21:00:00,1900-01-01 19:30:00,22.5,108,107
53042,718,Long,1900-01-01 20:10:00,1900-01-01 23:00:00,2.8333333333333335,107,106
13050,1909,Long,1900-01-01 18:10:00,1900-01-01 15:45:00,21.583333333333332,106,105
58111,885,Long,1900-01-01 06:30:00,1900-01-01 06:35:00,0.08333333333333333,102,101
19019,1676,Long,1900-01-01 00:05:00,1900-01-01 17:35:00,17.5,98,97
13352,2534,Long,1900-01-01 05:55:00,1900-01-01 13:30:00,7.583333333333333,97,96
13152,1979,Long,1900-01-01 18:55:00,1900-01-01 15:45:00,20.833333333333332,97,96
19024,1762,Long,1900-01-01 05:00:00,1900-01-01 19:35:00,14.583333333333334,97,96
13351,2535,Long,1900-01-01 10:30:00,1900-01-01 19:25:00,8.916666666666666,96,95
13151,1978,Long,1900-01-01 11:45:00,1900-01-01 09:10:00,21.416666666666668,96,95
19023,1759,Long,1900-01-01 07:25:00,1900-01-01 22:15:00,14.833333333333334,94,93
