Train_No,Start_Station,End_Station
107,SAWANTWADI R,MADGOAN JN.
108,MADGOAN JN.,SAWANTWADI R
128,MADGOAN JN.,CHHATRAPATI
290,DELHI-SAFDAR,DELHI-SAFDAR
401,AURANGABAD,VARANASI JN.
421,LUCKNOW JN.,SHRI MATA VA
422,SHRI MATA VA,LUCKNOW JN.
477,SIRSA,SIRSA
502,RAJENDRANAGA,AMBALA CANTT
504,PATNA JN.,BATHINDA JN
506,PATNA JN.,PATIALA
557,URKURA,PANJIPARA
604,PATNA JN.,AMRITSAR JN.
1011,CST-MUMBAI,NAGPUR JN.(C
1037,LOKMANYA TIL,SAWANTWADI R
1038,SAWANTWADI R,LOKMANYA TIL
1045,LOKMANYA TIL,KARMALI
1119,AJNI,KARMALI
1120,KARMALI,AJNI
1122,KARMALI,CST-MUMBAI
1196,NAGPUR JN.(C,KARMALI
1301,PUNE JN.,MANGALORE JN
1302,MANGALORE JN,PUNE JN.
1442,DELHI-SAFDAR,KHADKI
1655,PUNE JN.,JABALPUR
1656,JABALPUR,PUNE JN.
1705,BANDRA TERMI,JABALPUR
1706,JABALPUR,BANDRA TERMI
1707,JABALPUR,ATARI JN
1708,ATARI JN,JABALPUR
2025,CST-MUMBAI,KARMALI
2026,KARMALI,CST-MUMBAI
2191,JABALPUR,SANTRAGACHI
2192,SANTRAGACHI,JABALPUR
2195,REWA,BHOPAL
2196,BHOPAL,REWA
2515,TRIVANDRUM C,SILCHAR
2651,PALANI,POLLACHI
2652,POLLACHI,PALANI
2731,HYDERABAD DE,JAIPUR JN.
2732,JAIPUR JN.,HYDERABAD DE
2821,PUNE JN.,SANTRAGACHI
2822,SANTRAGACHI,PUNE JN.
2833,RAJKOT,SANTRAGACHI
2834,SANTRAGACHI,RAJKOT
2841,SANTRAGACHI,CHENNAI CENT
2842,CHENNAI CENT,SANTRAGACHI
2845,PUNE JN.,HATIA
2846,HATIA,PUNE JN.
3101,KOLKATA,PURI
3102,PURI,KOLKATA
3301,ASANSOL MAIN,DHANBAD JN.
3302,DHANBAD JN.,ASANSOL MAIN
3305,DHANBAD JN.,KUSUNDA
3306,KUSUNDA,DHANBAD JN.
3307,SONARDIH,PHULWARTANR
3308,PHULWARTANR,SONARDIH
3501,JASIDIH JN.,ANAND VIHAR
3502,ANAND VIHAR,JASIDIH JN.
4401,ANAND VIHAR,SHRI MATA VA
4402,SHRI MATA VA,ANAND VIHAR
4409,DELHI JN.,SHRI MATA VA
4410,SHRI MATA VA,DELHI JN.
4419,MADGOAN JN.,HAZRAT NIZAM
4420,HAZRAT NIZAM,MADGOAN JN.
4735,BIKANER JN.,HARIDWAR JN
4736,HARIDWAR JN,BIKANER JN.
4767,HANUMANGARH,SHRI GANGANA
4768,SHRI GANGANA,HANUMANGARH
4769,HANUMANGARH,SHRI GANGANA
