Train_No,Distance,Route_Type,Start_Time,End_Time,Journey_Duration_Hours,Number_of_Stations,Number_of_Stops
107,78,Short,1900-01-01 10:25:00,1900-01-01 12:10:00,1.75,4,3
108,83,Short,1900-01-01 20:30:00,1900-01-01 22:25:00,1.9166666666666667,4,3
128,978,Long,1900-01-01 19:40:00,1900-01-01 17:45:00,22.083333333333332,22,21
290,2694,Long,1900-01-01 18:30:00,1900-01-01 02:30:00,8.0,14,13
401,1618,Long,1900-01-01 21:30:00,1900-01-01 10:00:00,12.5,12,11
421,1276,Long,1900-01-01 23:00:00,1900-01-01 08:00:00,9.0,5,4
422,1277,Long,1900-01-01 11:45:00,1900-01-01 14:30:00,2.75,5,4
477,2616,Long,1900-01-01 12:10:00,1900-01-01 15:20:00,3.1666666666666665,14,13
502,1206,Long,1900-01-01 10:30:00,1900-01-01 09:30:00,23.0,9,8
504,1313,Long,1900-01-01 09:00:00,1900-01-01 10:00:00,1.0,3,2
506,1161,Long,1900-01-01 14:15:00,1900-01-01 15:45:00,1.5,3,2
557,1301,Long,1900-01-01 23:30:00,1900-01-01 11:00:00,11.5,2,1
604,1429,Long,1900-01-01 12:30:00,1900-01-01 16:00:00,3.5,3,2
1011,841,Long,1900-01-01 00:20:00,1900-01-01 14:20:00,14.0,18,17
1037,513,Long,1900-01-01 01:10:00,1900-01-01 10:30:00,9.333333333333334,10,9
1038,503,Long,1900-01-01 14:05:00,1900-01-01 00:20:00,10.25,10,9
1045,563,Long,1900-01-01 01:10:00,1900-01-01 11:00:00,9.833333333333334,11,10
1119,1329,Long,1900-01-01 19:50:00,1900-01-01 20:30:00,0.6666666666666666,24,23
1120,1319,Long,1900-01-01 21:30:00,1900-01-01 22:00:00,0.5,24,23
1122,569,Long,1900-01-01 22:30:00,1900-01-01 10:30:00,12.0,14,13
1196,1332,Long,1900-01-01 19:50:00,1900-01-01 21:30:00,1.6666666666666667,26,25
1301,976,Long,1900-01-01 18:50:00,1900-01-01 12:30:00,17.666666666666668,17,16
1302,973,Long,1900-01-01 15:45:00,1900-01-01 13:10:00,21.416666666666668,17,16
1442,1581,Long,1900-01-01 11:15:00,1900-01-01 02:15:00,15.0,13,12
1655,1050,Long,1900-01-01 10:45:00,1900-01-01 06:15:00,19.5,13,12
1656,1050,Long,1900-01-01 19:30:00,1900-01-01 14:05:00,18.583333333333332,13,12
1705,1261,Long,1900-01-01 00:15:00,1900-01-01 21:40:00,21.416666666666668,14,13
1706,1262,Long,1900-01-01 14:20:00,1900-01-01 11:15:00,20.916666666666668,14,13
1707,1360,Long,1900-01-01 09:15:00,1900-01-01 11:45:00,2.5,17,16
1708,1362,Long,1900-01-01 14:45:00,1900-01-01 17:20:00,2.5833333333333335,17,16
2025,579,Long,1900-01-01 05:00:00,1900-01-01 13:20:00,8.333333333333334,7,6
2026,569,Long,1900-01-01 14:30:00,1900-01-01 23:00:00,8.5,7,6
2191,1123,Long,1900-01-01 20:10:00,1900-01-01 16:00:00,19.833333333333332,16,15
2192,1123,Long,1900-01-01 20:40:00,1900-01-01 15:50:00,19.166666666666668,16,15
2195,551,Long,1900-01-01 13:20:00,1900-01-01 23:00:00,9.666666666666666,10,9
2196,549,Long,1900-01-01 23:45:00,1900-01-01 09:45:00,10.0,10,9
2515,3939,Long,1900-01-01 00:05:00,1900-01-01 05:00:00,4.916666666666667,58,57
2651,62,Short,1900-01-01 07:45:00,1900-01-01 09:10:00,1.4166666666666667,3,2
2652,62,Short,1900-01-01 16:45:00,1900-01-01 18:10:00,1.4166666666666667,3,2
2731,1854,Long,1900-01-01 16:25:00,1900-01-01 06:25:00,14.0,29,28
2732,1853,Long,1900-01-01 14:35:00,1900-01-01 02:00:00,11.416666666666666,29,28
2821,2066,Long,1900-01-01 10:30:00,1900-01-01 18:15:00,7.75,14,13
2822,2073,Long,1900-01-01 18:30:00,1900-01-01 02:45:00,8.25,14,13
2833,2332,Long,1900-01-01 22:20:00,1900-01-01 16:35:00,18.25,29,28
2834,2351,Long,1900-01-01 21:05:00,1900-01-01 13:45:00,16.666666666666668,29,28
2841,1656,Long,1900-01-01 12:40:00,1900-01-01 15:20:00,2.6666666666666665,12,11
2842,1656,Long,1900-01-01 18:20:00,1900-01-01 23:30:00,5.166666666666667,12,11
2845,1770,Long,1900-01-01 10:45:00,1900-01-01 18:20:00,7.583333333333333,17,16
2846,1791,Long,1900-01-01 21:00:00,1900-01-01 02:45:00,5.75,17,16
3101,523,Long,1900-01-01 23:55:00,1900-01-01 11:50:00,11.916666666666666,9,8
3102,522,Long,1900-01-01 22:45:00,1900-01-01 10:25:00,11.666666666666666,9,8
3301,58,Short,1900-01-01 10:10:00,1900-01-01 11:35:00,1.4166666666666667,13,12
3302,58,Short,1900-01-01 11:45:00,1900-01-01 13:10:00,1.4166666666666667,13,12
3305,3,Short,1900-01-01 11:30:00,1900-01-01 11:50:00,0.3333333333333333,2,1
3306,3,Short,1900-01-01 12:05:00,1900-01-01 12:25:00,0.3333333333333333,2,1
3307,4,Short,1900-01-01 14:40:00,1900-01-01 15:15:00,0.5833333333333334,4,3
3308,4,Short,1900-01-01 13:15:00,1900-01-01 13:45:00,0.5,4,3
3501,1193,Long,1900-01-01 18:30:00,1900-01-01 14:10:00,19.666666666666668,5,4
3502,1193,Long,1900-01-01 19:50:00,1900-01-01 17:30:00,21.666666666666668,5,4
4401,710,Long,1900-01-01 22:20:00,1900-01-01 13:00:00,14.666666666666666,13,12
4402,710,Long,1900-01-01 23:50:00,1900-01-01 14:05:00,14.25,13,12
4409,653,Long,1900-01-01 21:10:00,1900-01-01 11:30:00,14.333333333333334,7,6
4410,653,Long,1900-01-01 13:30:00,1900-01-01 03:15:00,13.75,7,6
4419,1916,Long,1900-01-01 10:40:00,1900-01-01 16:55:00,6.25,13,12
4420,1924,Long,1900-01-01 15:35:00,1900-01-01 19:40:00,4.083333333333333,13,12
4735,691,Long,1900-01-01 19:45:00,1900-01-01 10:25:00,14.666666666666666,17,16
4736,691,Long,1900-01-01 19:50:00,1900-01-01 09:25:00,13.583333333333334,17,16
4767,67,Short,1900-01-01 14:25:00,1900-01-01 16:05:00,1.6666666666666667,10,9
4768,67,Short,1900-01-01 11:10:00,1900-01-01 13:00:00,1.8333333333333333,10,9
4769,67,Short,1900-01-01 17:45:00,1900-01-01 19:30:00,1.75,10,9
4770,67,Short,1900-01-01 15:30:00,1900-01-01 17:05:00,1.5833333333333333,10,9
4771,232,Medium,1900-01-01 02:35:00,1900-01-01 08:45:00,6.166666666666667,24,23
4772,232,Medium,1900-01-01 18:45:00,1900-01-01 01:00:00,6.25,24,23
4773,125,Short,1900-01-01 19:35:00,1900-01-01 22:40:00,3.0833333333333335,16,15
