Train_No,Distance,Route_Type,Start_Time,End_Time,Journey_Duration_Hours
107,78,Short,1900-01-01 10:25:00,1900-01-01 12:10:00,1.75
108,83,Short,1900-01-01 20:30:00,1900-01-01 22:25:00,1.9166666666666667
128,978,Long,1900-01-01 19:40:00,1900-01-01 17:45:00,22.083333333333332
290,2694,Long,1900-01-01 18:30:00,1900-01-01 02:30:00,8.0
401,1618,Long,1900-01-01 21:30:00,1900-01-01 10:00:00,12.5
421,1276,Long,1900-01-01 23:00:00,1900-01-01 08:00:00,9.0
422,1277,Long,1900-01-01 11:45:00,1900-01-01 14:30:00,2.75
477,2616,Long,1900-01-01 12:10:00,1900-01-01 15:20:00,3.1666666666666665
502,1206,Long,1900-01-01 10:30:00,1900-01-01 09:30:00,23.0
504,1313,Long,1900-01-01 09:00:00,1900-01-01 10:00:00,1.0
506,1161,Long,1900-01-01 14:15:00,1900-01-01 15:45:00,1.5
557,1301,Long,1900-01-01 23:30:00,1900-01-01 11:00:00,11.5
604,1429,Long,1900-01-01 12:30:00,1900-01-01 16:00:00,3.5
1011,841,Long,1900-01-01 00:20:00,1900-01-01 14:20:00,14.0
1037,513,Long,1900-01-01 01:10:00,1900-01-01 10:30:00,9.333333333333334
1038,503,Long,1900-01-01 14:05:00,1900-01-01 00:20:00,10.25
1045,563,Long,1900-01-01 01:10:00,1900-01-01 11:00:00,9.833333333333334
1119,1329,Long,1900-01-01 19:50:00,1900-01-01 20:30:00,0.6666666666666666
1120,1319,Long,1900-01-01 21:30:00,1900-01-01 22:00:00,0.5
1122,569,Long,1900-01-01 22:30:00,1900-01-01 10:30:00,12.0
1196,1332,Long,1900-01-01 19:50:00,1900-01-01 21:30:00,1.6666666666666667
1301,976,Long,1900-01-01 18:50:00,1900-01-01 12:30:00,17.666666666666668
1302,973,Long,1900-01-01 15:45:00,1900-01-01 13:10:00,21.416666666666668
1442,1581,Long,1900-01-01 11:15:00,1900-01-01 02:15:00,15.0
1655,1050,Long,1900-01-01 10:45:00,1900-01-01 06:15:00,19.5
1656,1050,Long,1900-01-01 19:30:00,1900-01-01 14:05:00,18.583333333333332
1705,1261,Long,1900-01-01 00:15:00,1900-01-01 21:40:00,21.416666666666668
1706,1262,Long,1900-01-01 14:20:00,1900-01-01 11:15:00,20.916666666666668
1707,1360,Long,1900-01-01 09:15:00,1900-01-01 11:45:00,2.5
